Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	rawdata/HREC_P_3.mzML	rawdata/HREC_ETIS_1.mzML	rawdata/HREC_P_1.mzML	rawdata/HREC_IRIS_2.mzML	rawdata/HREC_IRIS_1.mzML	rawdata/HREC_IRIS_3.mzML	rawdata/HREC_IRIS_4.mzML	rawdata/HREC_P_2.mzML	rawdata/HREC_ETIS_2.mzML	rawdata/HREC_ETIS_3.mzML	rawdata/HREC_ETIS_4.mzML	rawdata/HREC_P_4.mzML
Q7Z3U7	Q7Z3U7;A0A286YFF8	MON2_HUMAN	MON2	Protein MON2 homolog	548013	461740	508802	453873	504866	501542	491124	579154	525569	524076	523957	615284
Q7Z3V4	Q7Z3V4;F5H5T5;F5H6D6	UBE3B_HUMAN	UBE3B	Ubiquitin-protein ligase E3B	77711.9	56978.5	44259.3	80708.5	50730.6	64058.6	72093.8	53211.8	52508.8	58346.4	54971.6	39126
Q7Z401	Q7Z401;A0A0U1RR27	MYCPP_HUMAN	DENND4A	C-myc promoter-binding protein		26657.7						11481	15793.5			
Q7Z403	Q7Z403;K7ERH0	TMC6_HUMAN	TMC6	Transmembrane channel-like protein 6	55058.1	35950.4	48215.7			46715.7		28553.3	52481.7	46704.9		
Q7Z406	Q7Z406;M0QY43	MYH14_HUMAN	MYH14	Myosin-14	150919	155459	140367	167352	150394	153406	141925	117521	125632	153469	169158	127882
Q7Z417	Q7Z417	NUFP2_HUMAN	NUFIP2	Nuclear fragile X mental retardation-interacting protein 2	71646.5	66808.6	29352.4	86610.2	96909.1	127002	61189.4	90129.4	77549.4	115479	71427.1	93020.9
Q7Z434	Q7Z434	MAVS_HUMAN	MAVS	Mitochondrial antiviral-signaling protein	2.14944e+06	2.67295e+06	2.04005e+06	1.90054e+06	1.94397e+06	1.93774e+06	1.82827e+06	1.98922e+06	1.97197e+06	2.20368e+06	2.06201e+06	1.93471e+06
Q7Z460	Q7Z460;F8WA11	CLAP1_HUMAN	CLASP1	CLIP-associating protein 1	966979	989727	908861	1.0571e+06	1.04898e+06	1.0263e+06	1.00871e+06	1.07194e+06	923071	938550	906949	1.054e+06
Q7Z478	Q7Z478;A0A087WYN9	DHX29_HUMAN	DHX29	ATP-dependent RNA helicase DHX29	275246	232058	270918	255189	227701	253130	240615	286940	223005	240997	242102	264430
Q7Z494	Q7Z494	NPHP3_HUMAN	NPHP3	Nephrocystin-3	115426	98393.2	107327	96509.8	98072.9	98765.4	107102	113439	95038.6	81513.9	78965.8	118760
Q7Z4F1	Q7Z4F1;H0YHW7	LRP10_HUMAN	LRP10	Low-density lipoprotein receptor-related protein 10	71297.6	67541.4	42692.9	68853.1	74947.3	56426.2	78530.9	81102.5	73083.4	71552.4	65882.6	86080.3
Q7Z4G1	Q7Z4G1	COMD6_HUMAN	COMMD6	COMM domain-containing protein 6	283536	440317	277761	272299	222228	270993	285701	239187	211003	232232	220072	203894
Q7Z4G4	Q7Z4G4;K7EPZ4;K7ENP1;K7EJQ4	TRM11_HUMAN	TRMT11	tRNA (guanine(10)-N2)-methyltransferase homolog	286805	262278	199988	185874	198011	212498	212157	245798	163936	201354	189314	215372
Q7Z4H3	Q7Z4H3	HDDC2_HUMAN	HDDC2	HD domain-containing protein 2	140119	93176.9	319018	290912	121705	82748.3	101995	98745.1	144478	133482	110112	126645
Q7Z4H7	Q7Z4H7;Q5VY60	HAUS6_HUMAN	HAUS6	HAUS augmin-like complex subunit 6	110718	69027.8	161622	68677.9	76631.8	84374.7	77880.4	121781	66573.9	69736.5	69772.9	141123
Q7Z4H8	Q7Z4H8	PLGT3_HUMAN	POGLUT3	Protein O-glucosyltransferase 3	385127	179241	316100	215080	226469	226997	169541	382535	190239	208193	187250	318302
Q7Z4K8	Q7Z4K8;A0A0A0MS35;F5GYK0;Q5VT61;A0A087WUH1	TRI46_HUMAN	TRIM46	Tripartite motif-containing protein 46		84871.6		96795.7	94671.8	85114.7	102008	53773.2	105889	94429.8	72087.3	
Q7Z4L5	Q7Z4L5;H9KV93;A0A494C0N4	TT21B_HUMAN	TTC21B	Tetratricopeptide repeat protein 21B	61997.5	64860.4	63336.2	48131.3	59895.7	72479.2	52738.7	51381.4	49100.9	63370.2	66535.9	73452.4
Q7Z4Q2	Q7Z4Q2	HEAT3_HUMAN	HEATR3	HEAT repeat-containing protein 3	68507.2	29468.1	38425.3	38451.6		37874.3	29033.8	52196	40418	32998.8	38341.6	48838.9
Q7Z4S6	Q7Z4S6;A0A1B0GV47;H0YHG9;H0YHT2;H0YI78;H0YIM6	KI21A_HUMAN	KIF21A	Kinesin-like protein KIF21A	207391	258974	217859	273795	275214	260358	268807	271855	292627	281835	272902	236564
Q7Z4V5	Q7Z4V5;A0A087WX58;K7EPS6	HDGR2_HUMAN	HDGFL2	Hepatoma-derived growth factor-related protein 2	599335	682076	702582	616276	822251	523687	780938	726437	736910	749922	684855	560044
Q7Z4W1	Q7Z4W1;J3QRQ2;J3QS36;J3KS22;J3QL34	DCXR_HUMAN	DCXR	L-xylulose reductase	36157.1	20314.3	30650.6	41864.2	50803.6	44446.8	38683.9	58438.1	31859.5	45308.4	40801.2	45569.7
Q7Z569	Q7Z569;J3KNN7	BRAP_HUMAN	BRAP	BRCA1-associated protein	94283.8	112553	146897	141917	71815.2	109886	137129	142120	121758	130730	133316	128751
Q7Z589	Q7Z589;H0YET8;E9PMC9	EMSY_HUMAN	EMSY	BRCA2-interacting transcriptional repressor EMSY								46239.1				
Q7Z591	Q7Z591	AKNA_HUMAN	AKNA	Microtubule organization protein AKNA			32679.1						18290.9			31974.9
Q7Z5G4	Q7Z5G4	GOGA7_HUMAN	GOLGA7	Golgin subfamily A member 7	393240	342563	538924	361096	348985	336865	345549	321806	408702	398724	354711	351039
Q7Z5H3	Q7Z5H3;A6NJ38;D6RBJ8	RHG22_HUMAN	ARHGAP22	Rho GTPase-activating protein 22	241611	276698	237903	263175	248185	272899	265131	228364	248778	242985	255130	214181
Q7Z5J4	Q7Z5J4;A0A1W2PQJ7	RAI1_HUMAN	RAI1	Retinoic acid-induced protein 1	61752.8	103116		57375.9	61130.3	51844.9	60001.5	90156.2	65820.9	53899.8	46315.1	67255.1
Q7Z5K2	Q7Z5K2	WAPL_HUMAN	WAPL	Wings apart-like protein homolog	185559	112717	193648	115722	129676	99513.8	138542	242285	127761	121860	123029	195070
Q7Z5L2	Q7Z5L2;A0A384DVK4	R3HCL_HUMAN	R3HCC1L	Coiled-coil domain-containing protein R3HCC1L				57238.3	61110.8	57044.4	83107.4	54612.9	40779.6	56097.9	50806.7	54461.4
Q7Z5L9	Q7Z5L9	I2BP2_HUMAN	IRF2BP2	Interferon regulatory factor 2-binding protein 2	51502.8	70957.2	64667.3	35020.7	36733.5	55103.1	41089.2	85664.6	39323.8	40834.3	59276.5	65539.7
Q7Z5Q1	Q7Z5Q1	CPEB2_HUMAN	CPEB2	Cytoplasmic polyadenylation element-binding protein 2	53779.1	61079.6	57438.7	40909.5	47766	54564	49889.4	40053.2	58796.5	50193.5	41689.9	34875.9
Q7Z5R6	Q7Z5R6	AB1IP_HUMAN	APBB1IP	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein				51684.3	56614.3	33979.3	32204.4	60237	42873.1	72489.9	29410.6	34571.2
Q7Z624	Q7Z624;A0A0C4DGY0	CMKMT_HUMAN	CAMKMT	Calmodulin-lysine N-methyltransferase						33148.9		35500.4		40661.1		30657.3
Q7Z698	Q7Z698;C9J623	SPRE2_HUMAN	SPRED2	Sprouty-related, EVH1 domain-containing protein 2	132922	157974	108509	153197	173957	157156	172167	158503	153876	164660	157772	122080
Q7Z6B0	Q7Z6B0;F5GWR1;A0A0A0MTK0;A0A0A0MTP0	CCD91_HUMAN	CCDC91	Coiled-coil domain-containing protein 91	21197.7	18453.3	16161.2	58992.7	30914.3	25558.4	30744.7		23200.7		31479	23979.1
Q7Z6B7	Q7Z6B7;O75044;P0DMP2;P0DJJ0;A0A075B743;G5EA48;B7ZM87;A0A075B7C8;A0A286YEY3;A0A075B7B5	SRGP1_HUMAN	SRGAP1	SLIT-ROBO Rho GTPase-activating protein 1	1.2293e+06	919705	1.34953e+06	828166	888821	812260	795720	1.22548e+06	881498	879962	868105	1.24516e+06
Q7Z6E9	Q7Z6E9;I3L3Y2;A0A2R8Y880;H3BUN0	RBBP6_HUMAN	RBBP6	E3 ubiquitin-protein ligase RBBP6	164099	129502	113539	85758.7	97146.1	119910	82486.2	146656	117394	114241	124835	148632
Q7Z6I8	Q7Z6I8;H0YAE0	CE024_HUMAN	C5orf24	UPF0461 protein C5orf24			53229.3	49625.3								
Q7Z6J0	Q7Z6J0;D6RAL3;D6RHX5	SH3R1_HUMAN	SH3RF1	E3 ubiquitin-protein ligase SH3RF1	195124	175992	138794	185103	189133	149548	160337	191811	170241	198477	206473	163249
Q7Z6J6	Q7Z6J6;H0Y5N1;H0YNI9;B5MC67;H0YKW6	FRMD5_HUMAN	FRMD5	FERM domain-containing protein 5		93809.3										
Q7Z6J9	Q7Z6J9;J3QLM6	SEN54_HUMAN	TSEN54	tRNA-splicing endonuclease subunit Sen54	64102.3		46419.7					65436.3				78197.2
Q7Z6K3	Q7Z6K3;X6R9N0	PTAR1_HUMAN	PTAR1	Protein prenyltransferase alpha subunit repeat-containing protein 1		44463.3	85504.9	59580.1	44158.6	43097.2	45528.7	50782.2	41620.7	33412.2	49507.6	35767.6
Q7Z6K5	Q7Z6K5;A0A0A6YYH1	ARPIN_HUMAN	ARPIN	Arpin	69264	50815.9	99449.6	37214.5	59242.2	39364.1	48699.9	93720	70757	49655.3	69958.7	88132.2
Q7Z6L0	Q7Z6L0;A0A1B0GTE9;A0A1B0GTP1;A0A0G2JLL6	PRRT2_HUMAN	PRRT2	Proline-rich transmembrane protein 2									99662.4			
Q7Z6L1	Q7Z6L1	TCPR1_HUMAN	TECPR1	Tectonin beta-propeller repeat-containing protein 1	137687	192373	103078	159506	150582	169075	164293	112924	161001	161524	138530	110273
Q7Z6M1	Q7Z6M1;Q5T1S5;Q5T1S4	RABEK_HUMAN	RABEPK	Rab9 effector protein with kelch motifs	678068	554936	555068	570884	541680	538996	617141	627834	552991	534952	520178	697385
Q7Z6M4	Q7Z6M4;B4DFP7;C9JNJ7	MTEF4_HUMAN	MTERF4	Transcription termination factor 4, mitochondrial	179890	166141	78300.1	143738	148780	152039	158474	160380	140146	143075	130130	158006
Q7Z6Z7	Q7Z6Z7;H0Y659	HUWE1_HUMAN	HUWE1	E3 ubiquitin-protein ligase HUWE1	1.9717e+06	1.75866e+06	1.81729e+06	1.78726e+06	1.73394e+06	1.8383e+06	1.72818e+06	1.90787e+06	1.6861e+06	1.74036e+06	1.75801e+06	1.93481e+06
Q7Z739	Q7Z739;A0A087X0Q1;A0A087WY31;A0A024R7W5	YTHD3_HUMAN	YTHDF3	YTH domain-containing family protein 3	822856	658424	471272	703603	738604	638409	602222	888834	590400	632154	653909	833052
Q7Z794	Q7Z794	K2C1B_HUMAN	KRT77	Keratin, type II cytoskeletal 1b			34064.5				24120.1		18520.5			
Q7Z7A3	Q7Z7A3	CTU1_HUMAN	CTU1	Cytoplasmic tRNA 2-thiolation protein 1	412160	260245	216120	267070	257727	236274	254772	354606	272174	247477	243758	307891
Q7Z7A4	Q7Z7A4;E9PD56;H7BYG4;W5RWE6;A0A0C4DG95	PXK_HUMAN	PXK	PX domain-containing protein kinase-like protein	71045.4	62077.1	85992.2	49474.4	54707.2	45698.7	49406.7	74516.3	49409.3	51128.3	53288.5	71746.9
Q7Z7C8	Q7Z7C8;B4DZU5	TAF8_HUMAN	TAF8	Transcription initiation factor TFIID subunit 8	69711.4	48499.5		60021.4	67762.4	75413.3	55652.8	108564	83157.1	78132.5	56611.9	105473
Q7Z7D3	Q7Z7D3;Q5T2L0	VTCN1_HUMAN	VTCN1	V-set domain-containing T-cell activation inhibitor 1	273469	260953	333800	285419	255515	359634		303592	300000	288607	316649	329769
Q7Z7E8	Q7Z7E8	UB2Q1_HUMAN	UBE2Q1	Ubiquitin-conjugating enzyme E2 Q1	432293	464961	498412	459249	412924	380895	381026	453115	492207	443503	415923	448019
Q7Z7F7	Q7Z7F7;X6R631	RM55_HUMAN	MRPL55	39S ribosomal protein L55, mitochondrial	697546	756191	906233	803067	819730	756596	733748	889114	755054	811823	773324	721190
Q7Z7G8	Q7Z7G8	VP13B_HUMAN	VPS13B	Vacuolar protein sorting-associated protein 13B	64338.4		43402.2	61310.3	63952.3	47381.7	44238.1	70863.4	66966.5	58612.7	67414.4	67761.1
Q7Z7H5	Q7Z7H5	TMED4_HUMAN	TMED4	Transmembrane emp24 domain-containing protein 4	49107.5	45800.1	33822.3									
Q7Z7K0	Q7Z7K0	COXM1_HUMAN	CMC1	COX assembly mitochondrial protein homolog	1.48052e+06	2.03976e+06	1.52238e+06	2.23944e+06	2.18161e+06	2.59292e+06	2.33479e+06	1.76718e+06	2.28732e+06	2.32617e+06	2.39644e+06	1.56054e+06
Q7Z7K6	Q7Z7K6;A0A0M3HER2	CENPV_HUMAN	CENPV	Centromere protein V	19824.8	9087.04	25284.2	22012.2	25862.1	16740		23924.4	12283	19114.2	21917.5	38242.5
Q7Z7L7	Q7Z7L7	ZER1_HUMAN	ZER1	Protein zer-1 homolog	75767.9	85960.6	50017.1	79884.1	85929.7	87049.1	90892.9	69539.7	95197.7	97623.6	96284.2	81236
Q7Z7M0	Q7Z7M0	MEGF8_HUMAN	MEGF8	Multiple epidermal growth factor-like domains protein 8	64860.2	90895.7	18776.8	53822.9	74684.9	71259.4	78353.9	64220	76761.8	74903	69685.8	69764
Q7Z7N9	Q7Z7N9	T179B_HUMAN	TMEM179B	Transmembrane protein 179B	432065	754412	446456	469145	564819	506968	410581	507148	673492	654964	688271	532768
Q86SF2	Q86SF2;H0YAH3;E9PBY3	GALT7_HUMAN	GALNT7	N-acetylgalactosaminyltransferase 7	2.73241e+06	2.31637e+06	2.41668e+06	2.90898e+06	2.66514e+06	2.73517e+06	2.58523e+06	2.71642e+06	2.91361e+06	2.92796e+06	2.95946e+06	2.67996e+06
Q86SG6	Q86SG6;K7EMF0	NEK8_HUMAN	NEK8	Serine/threonine-protein kinase Nek8						16103.6		13326.3				17919.6
Q86SJ2	Q86SJ2	AMGO2_HUMAN	AMIGO2	Amphoterin-induced protein 2	93731	36434.6	87843.9	51791.2	59288	41117.1	58115.4	100856	63048.2	60604.2	62633.7	69511
Q86SK9	Q86SK9	SCD5_HUMAN	SCD5	Stearoyl-CoA desaturase 5	32004.7	150511	57175.6					57268				
Q86SQ0	Q86SQ0;E9PFQ4;A0A1W2PQ63;E9PDY7;G5E9V3	PHLB2_HUMAN	PHLDB2	Pleckstrin homology-like domain family B member 2	180033	206199	163622	189297	209152	224375	200698	228276	207092	226683	240706	226564
Q86SQ7	Q86SQ7	SDCG8_HUMAN	SDCCAG8	Serologically defined colon cancer antigen 8	60575.8	43214.2	50335.4	45552.3	44948	43152.7	37569.4	61866.6	43395	43809.6	36396.8	41299.3
Q86SR1	Q86SR1	GLT10_HUMAN	GALNT10	Polypeptide N-acetylgalactosaminyltransferase 10	273179	170543	306291		203526	183095	191222	271478	194293	189589	182785	292712
Q86SX6	Q86SX6	GLRX5_HUMAN	GLRX5	Glutaredoxin-related protein 5, mitochondrial	324870	348400	298768	488182	501447	503576	516065	329456	491891	445561	446602	489723
Q86T03	Q86T03;H0YJ90	PP4P1_HUMAN	PIP4P1	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	198103	344034	150367	1.00255e+06	1.02133e+06	1.01205e+06	999640	129800	469132	472231	1.04847e+06	329948
Q86T24	Q86T24	KAISO_HUMAN	ZBTB33	Transcriptional regulator Kaiso	24722	16306.7	18582.8	24047.9	17649.6	14780.6	18957	19616.3	22332.8		24588.5	28177.1
Q86TB9	Q86TB9	PATL1_HUMAN	PATL1	Protein PAT1 homolog 1	358620	207764	126477	151948	160694	172307	130527	205120	154098	129855	144204	226655
Q86TI0	Q86TI0;H0Y8P0;A0JNU9	TBCD1_HUMAN	TBC1D1	TBC1 domain family member 1			32726	42398.7	42528.3	55055.1	49244.5	40453.8	55386.7	67418.2	60936.4	46035.2
Q86TI2	Q86TI2	DPP9_HUMAN	DPP9	Dipeptidyl peptidase 9	1.22038e+06	1.46776e+06	1.22393e+06	1.48677e+06	1.48246e+06	1.38513e+06	1.47975e+06	1.23811e+06	1.54277e+06	1.59801e+06	1.49742e+06	1.25963e+06
Q86TJ2	Q86TJ2	TAD2B_HUMAN	TADA2B	Transcriptional adapter 2-beta			41947	20685.3	30350.8				14541.2	32139.9	23365	34686.8
Q86TM6	Q86TM6;E9PN88;E9PK19;E9PMA1;H0YCR6	SYVN1_HUMAN	SYVN1	E3 ubiquitin-protein ligase synoviolin	112424	106969	91725.4	142149	114169	140758	112434	126900	142191	158061	114277	109529
Q86TN4	Q86TN4;F5H8A0;F5H6B6	TRPT1_HUMAN	TRPT1	tRNA 2'-phosphotransferase 1		239115		215309	227268		221376	243750			221779	257835
Q86TP1	Q86TP1	PRUN1_HUMAN	PRUNE1	Exopolyphosphatase PRUNE1	39412	58610.9	35282.7	43509.2	49499.4	43789.1	41506	34152.1		66841.5	61693.3	
Q86TU7	Q86TU7	SETD3_HUMAN	SETD3	Actin-histidine N-methyltransferase	609993	621012	625682	615826	629269	599669	553274	670714	621791	595154	691133	635693
Q86TV6	Q86TV6;G3V3E4;G3V3H1	TTC7B_HUMAN	TTC7B	Tetratricopeptide repeat protein 7B	180355	273073	162426	221833	237706	229863	237360	173061	184065	227201	206340	176529
Q86TW2	Q86TW2	ADCK1_HUMAN	ADCK1	AarF domain-containing protein kinase 1									28562.3		31090.5	
Q86U28	Q86U28	ISCA2_HUMAN	ISCA2	Iron-sulfur cluster assembly 2 homolog, mitochondrial	219528	314524	205469	327341	351516	354531	343032	278415	384401	347264	417392	322299
Q86U38	Q86U38;A0A3B3ISH6	NOP9_HUMAN	NOP9	Nucleolar protein 9	597802	505256	700651	542612	572285	576641	596822	544395	514686	554414	583884	670568
Q86U42	Q86U42;B4DEH8;G3V4T2	PABP2_HUMAN	PABPN1	Polyadenylate-binding protein 2		20542.1	34487	33423.7	35885.4	27429.2	33209.8	22750.3	29281.3	20244.5	35101.1	32866.9
Q86U44	Q86U44	MTA70_HUMAN	METTL3	N6-adenosine-methyltransferase catalytic subunit	216363	213436	223485	145118	174381	169812	116841	216326	143998	119072	157496	184318
Q86U70	Q86U70	LDB1_HUMAN	LDB1	LIM domain-binding protein 1			17078.9							10987.7		10423.2
Q86U86	Q86U86;E7EVG2	PB1_HUMAN	PBRM1	Protein polybromo-1	94291.3	67460.7	98967.4		65750.4	59015.2	54957.3	110770	48687	58462.2	66266.1	112860
Q86U90	Q86U90	YRDC_HUMAN	YRDC	YrdC domain-containing protein, mitochondrial	187750	195047	156569	249760	187827	224256	229386	196681	184019	167207	205051	194656
Q86UA1	Q86UA1;F8WB90;G3V5M7	PRP39_HUMAN	PRPF39	Pre-mRNA-processing factor 39	177910	139299	157398	156253	102335	131266	119559	169470	139804	149667	142177	180503
Q86UB9	Q86UB9;E9PJX0;E9PIS2	TM135_HUMAN	TMEM135	Transmembrane protein 135			33515.1	40732.2	27076.3	32628.6			30223.1	41304.2		31379.4
Q86UD0	Q86UD0	SAPC2_HUMAN	SAPCD2	Suppressor APC domain-containing protein 2												43555
Q86UE4	Q86UE4;E5RJU9;H0YBJ8	LYRIC_HUMAN	MTDH	Protein LYRIC	1.84461e+06	2.09893e+06	1.53313e+06	2.02588e+06	1.97048e+06	2.0009e+06	2.04801e+06	1.85801e+06	1.9265e+06	1.86539e+06	1.90808e+06	1.7562e+06
Q86UE8	Q86UE8;Q9UKI8;J3KRK0;J3QLK5	TLK2_HUMAN	TLK2	Serine/threonine-protein kinase tousled-like 2	75928.5	52900.5	71029.7	53319.6	44593.5		45077.6	59433.3		53291.3		62273
Q86UK5	Q86UK5;A0A0C4DGE7	LBN_HUMAN	EVC2	Limbin		27959.1			29282.2		23973.8			24556	21771.8	
Q86UK7	Q86UK7;H3BQQ2;H3BPG6	ZN598_HUMAN	ZNF598	E3 ubiquitin-protein ligase ZNF598	438394	391373	385171	329979	348004	406676	345630	378196	353592	351310	367089	369640
Q86UL3	Q86UL3	GPAT4_HUMAN	GPAT4	Glycerol-3-phosphate acyltransferase 4	357355	432115	438105	488119	468075	485282	454249	407257	484601	464860	527873	383541
Q86UP2	Q86UP2;G3V5G2;H0YJZ8;G3V4Y7	KTN1_HUMAN	KTN1	Kinectin	1.08919e+06	1.25619e+06	1.2907e+06	1.26006e+06	1.27562e+06	1.26264e+06	1.25841e+06	1.05458e+06	1.28473e+06	1.30522e+06	1.22929e+06	1.00794e+06
Q86US8	Q86US8	EST1A_HUMAN	SMG6	Telomerase-binding protein EST1A	203185	154670	194504	191694	173644	210222	184333	201003	170261	179060	174896	203696
Q86UT6	Q86UT6	NLRX1_HUMAN	NLRX1	NLR family member X1	538468	900644	258801	758518	880517	887393	689868	632960	813338	1.01029e+06	649386	433025
Q86UU0	Q86UU0;A0A087WZX0	BCL9L_HUMAN	BCL9L	B-cell CLL/lymphoma 9-like protein	230034	188223	233539	177520	175527	184636	180168	217838	210428	186315	177431	232118
Q86UU1	Q86UU1	PHLB1_HUMAN	PHLDB1	Pleckstrin homology-like domain family B member 1	969455	749376	872937	802578	738739	803769	756392	973877	780935	865568	708499	1.03828e+06
Q86UV5	Q86UV5;A0A0A0MRS6	UBP48_HUMAN	USP48	Ubiquitin carboxyl-terminal hydrolase 48	157636	102712	154015	95585.4	94118.8	69517.4	110178	118299	85429.1	81045.8	101118	117839
Q86UW9	Q86UW9;Q75MM6;E7ET89	DTX2_HUMAN	DTX2	Probable E3 ubiquitin-protein ligase DTX2	22440.3	35524.6	27735.9	30649.3	40658.7	43909.8		51530.3	33610.1	31921.7	39860.9	30856.7
Q86UX6	Q86UX6	ST32C_HUMAN	STK32C	Serine/threonine-protein kinase 32C	34349.6		42977.6					30602.6	27248.3			44320.2
Q86UY6	Q86UY6	NAA40_HUMAN	NAA40	N-alpha-acetyltransferase 40	78034.9	64537.3	68038.1	48136.5	53238	46166.2	45897.9	74606.7	45886.3	46269.2	50234.4	71419.6
Q86UY8	Q86UY8;H7C3S8	NT5D3_HUMAN	NT5DC3	5'-nucleotidase domain-containing protein 3	169106	202937	128848	238410	249453	236941	232361	157792	216821	196210	212877	181163
Q86V21	Q86V21	AACS_HUMAN	AACS	Acetoacetyl-CoA synthetase	514864	333952	641898	411011	394306	369295	435125	678566	441622	419389	434936	618573
Q86V48	Q86V48	LUZP1_HUMAN	LUZP1	Leucine zipper protein 1	633768	589377	488199	492447	516014	496979	470293	557804	544473	558792	579862	624809
Q86V81	Q86V81;E9PB61	THOC4_HUMAN	ALYREF	THO complex subunit 4	2.08712e+06	1.94457e+06	2.39812e+06	2.12227e+06	1.94967e+06	1.9875e+06	1.71084e+06	2.52061e+06	2.14299e+06	2.03672e+06	1.72521e+06	2.24568e+06
Q86V85	Q86V85	GP180_HUMAN	GPR180	Integral membrane protein GPR180			182595	378674	79702.8		85445.9		57883.5			
Q86V87	Q86V87	F16B2_HUMAN	FAM160B2	Protein FAM160B2		19009.3	12284.2	10047.7	18729.2		9289.18	18193.4	8165.52		13536.2	
Q86V88	Q86V88;E9PL57	MGDP1_HUMAN	MDP1	Magnesium-dependent phosphatase 1	764637	650864	899136	664884	605669	648343	633332	751456	691885	616965	741499	787779
Q86V97	Q86V97	KBTB6_HUMAN	KBTBD6	Kelch repeat and BTB domain-containing protein 6	48084.4	34615.7	26738.5	34390.3	54951.6	29172.7	61426.1	61834.8	54640.2	52746.1	60798.6	67681.7
Q86VI3	Q86VI3;F2Z2E2	IQGA3_HUMAN	IQGAP3	Ras GTPase-activating-like protein IQGAP3	272548		299401		23811		28353.1	295920				340259
Q86VM9	Q86VM9;H3BRN6;E7ERS3	ZCH18_HUMAN	ZC3H18	Zinc finger CCCH domain-containing protein 18	50439.7	32236.4	21905.1	41888.4	47655.7	38372.5	42194.1	77531.9	39052.5	42236	32182.1	30977.3
Q86VN1	Q86VN1;A0A3B3ISW7	VPS36_HUMAN	VPS36	Vacuolar protein-sorting-associated protein 36	591526	1.01497e+06	486811	839484	859422	885697	892777	737806	862378	946861	957762	708782
Q86VP1	Q86VP1;H7C3L5;B8ZZD4	TAXB1_HUMAN	TAX1BP1	Tax1-binding protein 1	23860.1						12765.1				15613.4	
Q86VP3	Q86VP3;F8VW41	PACS2_HUMAN	PACS2	Phosphofurin acidic cluster sorting protein 2	36467.7	57611.9	45711.5	54951.1	43906.8	51603.9	60793.1	28384.3	46102.8	39358.6	51715.4	37478.5
Q86VP6	Q86VP6;A0A0C4DGH5	CAND1_HUMAN	CAND1	Cullin-associated NEDD8-dissociated protein 1	4.05902e+06	4.05024e+06	3.66495e+06	4.01051e+06	3.89415e+06	3.88534e+06	3.92319e+06	4.12514e+06	3.74109e+06	3.71812e+06	3.68614e+06	3.93558e+06
Q86VQ6	Q86VQ6;H0YBI6;H0YBQ0;A0A1W2PR67	TRXR3_HUMAN	TXNRD3	Thioredoxin reductase 3	50884.5		12375.6	53747.8	46386.6	69839.3	68710.3	58380.3	85538.9	72384.7	64249.2	51398.5
Q86VR2	Q86VR2;K7EJ34;K7ENZ6;K7ENF4;K7ELM8;K7EMF4	RETR3_HUMAN	RETREG3	Reticulophagy regulator 3	1.95534e+06	2.27628e+06	1.19921e+06	2.00367e+06	1.97757e+06	2.18444e+06	2.19653e+06	1.77127e+06	2.23742e+06	2.14044e+06	2.13109e+06	1.49233e+06
Q86VS8	Q86VS8	HOOK3_HUMAN	HOOK3	Protein Hook homolog 3	565186	581403	543522	620131	623018	618135	666889	612940	614763	572116	618312	689237
Q86VU5	Q86VU5;R4GNF4	CMTD1_HUMAN	COMTD1	Catechol O-methyltransferase domain-containing protein 1			13017.9				14222.8	10358.8		13021.7		
Q86VV8	Q86VV8;A0A1W2PR32;A0A1W2PR96	RTTN_HUMAN	RTTN	Rotatin	71560.9							50230.8				34608.1
Q86VW0	Q86VW0;H7BZR8	SESD1_HUMAN	SESTD1	SEC14 domain and spectrin repeat-containing protein 1	91177.8	106609	121514	94047.6	63103.3	77134.5	70358.4	90696.2	88661.1	101588	95203.4	100661
Q86VX2	Q86VX2;A0A2R8Y600;A0A2R8Y455;V9GY66;A0A2R8Y7U2;A0A2R8Y620	COMD7_HUMAN	COMMD7	COMM domain-containing protein 7	77994.1	116620	67420.1	145015	167727	149747	155187	100345	148307	164330	141688	145368
Q86VX9	Q86VX9;A0A0A0MSQ9	MON1A_HUMAN	MON1A	Vacuolar fusion protein MON1 homolog A	215977	43829	177232	25081.3	21322.4						35072.6	29304.2
Q86VZ5	Q86VZ5;C0MHM2;E6ZCI6	SMS1_HUMAN	SGMS1	Phosphatidylcholine:ceramide cholinephosphotransferase 1	33846.1	38842.6		42278.1	40800.7	35020.3	40596.3	46115.6	41143.6	38566.8	43615.9	48694.7
Q86W34	Q86W34;J3KTM1;J3KRD0	AMZ2_HUMAN	AMZ2	Archaemetzincin-2	118002	291017		218916	247930	220468	299440	184846	267736	262199	238814	204593
Q86W42	Q86W42	THOC6_HUMAN	THOC6	THO complex subunit 6 homolog	238475	163448	255152	137426	166937	170258	131282	213606	136604	115138	162276	240376
Q86W50	Q86W50;K7EKQ8;I3L4V1;I3L362;I3L3W3	MET16_HUMAN	METTL16	RNA N6-adenosine-methyltransferase METTL16	47945.4	32381.8	78169.2		37789.9			37588.6	35330.5	26649.9		42985.5
Q86W56	Q86W56	PARG_HUMAN	PARG	Poly(ADP-ribose) glycohydrolase	235510	225806	225248	232374	201316	211202	223056	188756	172165	174610	191215	229470
